THB;bat (Tajlandia);0.1169
USD;dolar amerykański;4.2395
AUD;dolar australijski;2.675
HKD;dolar Hongkongu;0.5421
CAD;dolar kanadyjski;3.0732
NZD;dolar nowozelandzki;2.4608
SGD;dolar singapurski;3.0908
EUR;euro;4.4708
HUF;forint (Węgry);0.011655
CHF;frank szwajcarski;4.7123
GBP;funt szterling;5.1209
UAH;hrywna (Ukraina);0.1161
JPY;jen (Japonia);0.028187
CZK;korona czeska;0.1807
DKK;korona duńska;0.599
ISK;korona islandzka;0.030311
NOK;korona norweska;0.3779
SEK;korona szwedzka;0.3791
RON;lej rumuński;0.9008
BGN;lew (Bułgaria);2.2859
TRY;lira turecka;0.1506
ILS;nowy izraelski szekel;1.0409
CLP;peso chilijskie;0.004593
PHP;peso filipińskie;0.0744
MXN;peso meksykańskie;0.2312
ZAR;rand (Republika Południowej Afryki);0.2213
BRL;real (Brazylia);0.8486
MYR;ringgit (Malezja);0.8856
IDR;rupia indonezyjska;0.0002663
INR;rupia indyjska;0.05096
KRW;won południowokoreański;0.003122
CNY;yuan renminbi (Chiny);0.5792
XDR;SDR (MFW);5.543
