bat (Tajlandia);THB;0.1169
dolar amerykański;USD;4.2395
dolar australijski;AUD;2.675
dolar Hongkongu;HKD;0.5421
dolar kanadyjski;CAD;3.0732
dolar nowozelandzki;NZD;2.4608
dolar singapurski;SGD;3.0908
euro;EUR;4.4708
forint (Węgry);HUF;0.011655
frank szwajcarski;CHF;4.7123
funt szterling;GBP;5.1209
hrywna (Ukraina);UAH;0.1161
jen (Japonia);JPY;0.028187
korona czeska;CZK;0.1807
korona duńska;DKK;0.599
korona islandzka;ISK;0.030311
korona norweska;NOK;0.3779
korona szwedzka;SEK;0.3791
lej rumuński;RON;0.9008
lew (Bułgaria);BGN;2.2859
lira turecka;TRY;0.1506
nowy izraelski szekel;ILS;1.0409
peso chilijskie;CLP;0.004593
peso filipińskie;PHP;0.0744
peso meksykańskie;MXN;0.2312
rand (Republika Południowej Afryki);ZAR;0.2213
real (Brazylia);BRL;0.8486
ringgit (Malezja);MYR;0.8856
rupia indonezyjska;IDR;0.0002663
rupia indyjska;INR;0.05096
won południowokoreański;KRW;0.003122
yuan renminbi (Chiny);CNY;0.5792
SDR (MFW);XDR;5.543
